text,intent,sub_intent
các bệnh nền và yếu tố nguy cơ lây nhiễm covid 19 là gì,request,symptom
các bài tập giãn cơ vai là gì,request,information
giãn cơ vai,request,common_infor
mình bị ho có sao ko ạ,request,diagnostic
hmm là sao,request,information
mình bị ho có sao ko,request,diagnostic
ko hiểu,request,information
ko biết,request,information
không biết,request,information
 mác ác ,other,information
mình bị ho có sao k,request,diagnostic
ko nhớ á,inform,healthcare
mình bị ho có sao ko,request,diagnostic
chưa,ok,information
mình bị ho có sao ko,request,diagnostic
ko nhớ á,inform,healthcare
mình bị ho có sao ko,request,diagnostic
ko nhớ,inform,healthcare
chịu á,request,information
có,inform,information
Hậu covid là gì,request,covid_infor
Aloooo,hello,covid_infor
các bài tập giãn cơ là gì,request,symptom
các bài tập giãn cơ vai,inform,symptom
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
các bài tập giãn cơ vai là gì,request,information
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
laf sao,request,information
giãn cơ có những bài tập n,request,symptom
giãn cơ có những bài tập nao,request,symptom
giãn cơ có những bài tập nafo,request,symptom
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
giãn cơ cánh tay,inform,prevention
các bài tập giãn cơ vai là gì,request,information
giãn cơ có những bài tập nào,request,common_infor
giãn cơ cánh tay,request,common_infor
mình bị ho có sao k,request,diagnostic
chưa ,ok,information
có,inform,information
liên hệ vs số nào,request,contact
q9,inform,information
đeo khẩu trang như nào,request,prevention
cách đeo khẩu trang vải,request,common_infor
khai báo y tế ntn á,request,prevention
tôi phải khai báo y tế ở đâu,request,common_infor
biến thể nào kháng đc vaccine,request,information
có bao nhiu biến thể,request,current_number
có mấy biến thể,request,information
có những biến thể nào,request,common_infor
có mấy loại biến thể,request,information
biến thể là gì,request,common_infor
có mấy biến thể,request,information
có những biến thể nào,request,common_infor
có các bài tập giãn cơ nào á,request,symptom
có mấy bài tập giãn cơ vai,inform,healthcare
bài tập giãn cơ vai thực hiện ntn,request,information
giãn cơ có những bài tập nào,request,common_infor
giãn cơ cánh tay,request,common_infor
mình ms đi nc ngoài về có cần khai báo y tế k,request,rule
khi nào tôi cần khai báo y tế,request,common_infor
tôi vừa đi nc ngoài về có cần cách  li ko ạ,request,prevention
tôi vừa ở nước ngoài về thì có phải cách ly không,request,common_infor
biến thể là gì,request,information
Tần suất bị đau mỏi cơ người trên người mắc Covid-19 là bao nhiêu á,request,symptom
Tần suất bị đau mỏi cơ người trên người mắc Covid-19 là bao nhiêu?,request,symptom
mình vừa đi nc ngoài về thì có nghi nhiễm k,request,rule
tôi vừa ở nước ngoài về thì có phải cách ly không,request,common_infor
trieeujc chứng covid là gì,request,symptom
biến chứng của covid 19 là gì,request,common_infor
triệu chứng của covid là gì,request,symptom
triệu chứng nặng nguy hiểm của covid 19 là gì,request,common_infor
số ca nhiễm nhiêu á,request,current_number
Tần suất bị  sổ mũi trên người mắc Covid-19 là bao nhiêu?,request,symptom
thực hiện các bài tập như thế nào,request,healthcare
giãn cơ có những bài tập nào,request,common_infor
giãn cơ cánh tay,request,common_infor
có mấy loại biến thể,request,information
biến thể là gì,request,common_infor
có mấy biến thể,request,information
có những biến thể nào,request,common_infor
e bị ho có sao ko ạ,request,diagnostic
chưa,ok,information
ca sa ,request,current_number
có,inform,information
alo,hello,information
ddeod khaaur trang lafm gif,request,prevention
ddeo khaaur trang lafm gif,request,prevention
cách đeo khẩu trang vải,request,common_infor
ddeo khaaur trang lafm gif,request,prevention
ddeo khaaur trang lafm gif,request,prevention
ddeo khaaur trang lafm gif,request,prevention
alo,hello,information
mình bị ho có sao ko,request,diagnostic
kaf sap,other,information
rồi á,inform,information
test nhanh,inform,information
âm tính,inform,information
có,inform,information
đeo khẩu trang làm gì á,request,prevention
cách đeo khẩu trang y tế,request,common_infor
ddeo khaaur trang lamf gif,request,prevention
cách đeo khẩu trang y tế,request,common_infor
minhf bij ho cos sao ko,request,diagnostic
chuwa,ok,information
" las,c a",request,healthcare
có,inform,information
alo,hello,information
mình bị ho có sao ko,request,diagnostic
lác a,other,information
rồi á,inform,information
RT-PCR,inform,test
là so,request,information
âm tính,inform,information
liên hệ ntn á,request,contact
q6,inform,information
ho có sao k,request,diagnostic
chuea,other,information
rồi á,inform,information
RT-PCR,inform,test
âm tính,inform,information
số ca nhiễm nhiêu á,request,current_number
đeo khẩu trang để làm gì,request,prevention
cách đeo khẩu trang y tế,request,common_infor
minhf bij ho cos sao k,request,diagnostic
koasc asc,other,information
rồi á,inform,information
RT-PCR,inform,test
số ca nhiễm kon tum nhiu á,request,current_number
liên hệ trạm y tế q8 ntn,request,contact
số ca nhiễm nhiu á,request,current_number
khai báo y tế làm gì,request,contact
khai báo y tế ntn,request,prevention
khai báo y tế ntn á,request,prevention
tôi phải khai báo y tế ở đâu,request,common_infor
chỉ thị 16 là gì á,request,information
chỉ thị 16 có gì khác 15,request,common_infor
chỉ thị 16 là gì á,request,information
giãn cách theo chỉ thị 16 là gì,request,common_infor
số ca nhiễm nhiu á,request,current_number
tui bị ho có sao k,request,diagnostic
aksca sc,other,information
rồi á,inform,information
RT-PCR,inform,test
dương tính,inform,test
q9,inform,information
các bài tập giãn cơ vai ntn ,request,information
giãn cơ vai,request,common_infor
gập khuỷu tay ntn á,request,prevention
gập khuỷu,request,common_infor
khai báo y tế ntn,request,prevention
tôi phải khai báo y tế ở đâu,request,common_infor
tư thế ngồi là sao,inform,information
thực hiện tư thế ngồi ntn,request,information
tư thế ngồi,request,common_infor
số ca nhiễm ở gia lai nhiêu á,request,current_number
chỉ thị 16 là gì,request,information
chỉ thị 16 là gì,request,information
chỉ thị 16 có gì khác 15,request,common_infor
số ca nhiễm hiện nay bao nhiêu á,request,current_number
chỉ thị 16 là gì,request,information
giãn cách theo chỉ thị 16 là gì,request,common_infor
mình bị ho có sao ko ạ,request,diagnostic
chưa á,ok,information
có,inform,information
Số ca nhiễm ở gia lai bao nhiêu vậy,request,current_number
Hello,ok,information
số ca nhiễm ở gia lai bao nhiêu vậy,request,current_number
Triệu chứng covid là gì,request,symptom
triệu chứng nặng nguy hiểm của covid 19 là gì,request,common_infor
Cách đeo khẩu trang,request,prevention
Số ca nhiễm ở tphcm bao nhiêu,request,current_number
Vùng xanh là gì,request,rule
Cách đeo khẩu trang cho đúng,request,prevention
cách đeo khẩu trang y tế,request,common_infor
Vùng xanh là gì,request,rule
tôi sốt sau tiêm vaccine,request,vaccine
Không,inform,healthcare
tôi sốt sau tiêm vaccine,request,vaccine
tôi cần làm gì sau tiêm vaccine,request,common_infor
Tôi bị sốt,request,diagnostic
Chưa ,ok,information
mình cảm thấy buồn,request,diagnostic
có,inform,information
tôi bị ho,request,diagnostic
Ok cảm ơn,ok,information
có,inform,information
RT-PCR,inform,test
âm tính,inform,information
chưa,ok,information
không,inform,healthcare
không,inform,healthcare
tôi muốn tập thể dục,request,healthcare
tôi nên tập thể dục như thế nào,request,common_infor
bài tập gì ạ,request,symptom
có các cách nào tập thể dục,request,common_infor
vận động tại giường,inform,information
giãn cơ,inform,information
giãn cơ có các bài tập nào,request,symptom
giãn cơ cánh tay,request,common_infor
tôi muốn biết khi nào phải thực hiện cách ly,request,rule
Covid là gì,request,information
tôi thấy buồn phải làm gì,request,healthcare
covid 19 là gì,request,common_infor
tôi cảm thấy buồn bã lo sợ thì phải làm sao,request,common_infor
tôi đi chợ có tiếp xúc người bán bị covid-19 nhưng không nói chuyện gì thì có phải cách ly không,request,rule
tôi nói chuyện với f0 thì có phải cách ly không,request,rule
Ủ bệnh là gì,request,information
tôi nói chuyện với người nghi nhiễm covid 19 thì có phải cách ly không,request,common_infor
Tôi bị khó thở có bị covid không?,request,diagnostic
tôi hút thuốc nhiều phải làm sao,request,healthcare
hút thuốc lá có làm bệnh nặng hơn không,request,common_infor
khó thở,request,diagnostic
tôi là f1 có phải cách ly không,request,rule
Biến thể là gì,request,information
tôi là f1 thì phải cách ly tại nhà bao lâu,request,common_infor
khó thở thì phải làm gì,request,healthcare
tôi nằm thấy khó thở thì phải làm sao,request,common_infor
Bị khó thở,request,diagnostic
có tư thế nào giảm khó thở,request,healthcare
Tôi bị ho,request,diagnostic
Ncov là gì,request,information
2019 ncov là gì,request,common_infor
Tôi bị đau đầu,request,diagnostic
Bị đau đầu có mắc covid không,request,diagnostic
Sarcovi là gì,request,information
Sar covi là gì,request,information
Tôi bị sốt có mắc covid không?,request,diagnostic
Rồi,inform,information
Sarc cov là gì,request,information
test nhanh,inform,information
dương tính,inform,test
sars cov 2 là gì,request,common_infor
tôi là fo phải cách ly không,request,rule
Tôi bik ho có bị covid không,request,diagnostic
Rồi,inform,information
RT-PCR,inform,test
âm tính,inform,information
Tôi bị đau họng,request,diagnostic
Thời gian ủ bệnh là bao lâu,request,information
Chưa,ok,information
có,inform,information
Ủ bệnh bao lâu,request,information
nếu tôi bị nhiễm covid 19 thì sau bao lâu tôi phát bệnh,request,common_infor
Tôi bị đau họng,request,diagnostic
Rồi,inform,information
RT-PCR,inform,test
dương tính,inform,test
Quận 5,inform,information
tôi có được cách ly tại nhà không,request,rule
điều kiện để cách ly tại nhà,request,rule
Tôi bị đau đầu,request,diagnostic
Chưa,ok,information
không,inform,healthcare
không,inform,healthcare
cần chuẩn bị gì để cách ly tại nhà,request,rule
tôi phải chuẩn bị những gì khi cách ly tại nhà,request,common_infor
Tôi bị mất vị giác,request,diagnostic
Rồi,inform,information
test nhanh,inform,information
âm tính,inform,information
không,inform,healthcare
có,inform,information
vùng đỏ là gì,request,rule
có cần mang khẩu trang không,request,prevention
tại sao phải mang khẩu trang,request,common_infor
mang khẩu trang vải có an toàn không,request,prevention
tôi mang khẩu trang vải khi ra đường thì có được không,request,common_infor
tôi có cần khai báo y tế không,request,prevention
khi nào tôi cần khai báo y tế,request,common_infor
Tôi bị ho ra máy,request,diagnostic
Tôi bị ho ra máu,request,diagnostic
Có ai liên hệ để giúp vấn đề về covid không,request,contact
tư vấn tâm lí,request,contact
Tôi bị ho ra máu có phải bị covid không,request,diagnostic
Quận Tân Bình,request,information
quận tân bình,request,information
Tôi bị ho ra máu có phải bị covid không,request,diagnostic
Có mấy cách khai báo y tế,request,contact
Quận 10,inform,information
tôi nghi ngờ tôi bị nhiễm covid,request,diagnostic
Tôi bị đau hịng,request,diagnostic
tôi nghi ngờ tôi bị nhiễm covid thì làm gì,request,healthcare
rồi á,inform,information
test nhanh,inform,information
dương tính,inform,test
tôi nghi ngờ bị nhiễm covid thì làm gì,request,healthcare
tôi bị đau vai sau tiêm vaccine,request,vaccine
tôi uống vitamin C được không,request,healthcare
nếu tôi nghi ngờ mình là f1 thì phải làm gì,request,common_infor
hướng dẫn cách ly ,request,prevention
Tôi bị đau họng,request,diagnostic
hướng dẫn chi tiết cách ly tại nhà,request,common_infor
Rồi,inform,information
RT-PCR,inform,test
âm tính,inform,information
tôi cần làm gì sau tiêm vaccine,request,common_infor
tôi sốt sau tiêm vaccine,request,vaccine
có được sử dụng vitamin không,request,common_infor
tôi cần làm gì sau tiêm vaccine,request,common_infor
phản ứng phụ sau tiêm vaccine,request,vaccine
Tôi bị sốt,request,diagnostic
Rồi,inform,information
test nhanh,inform,information
dương tính,inform,test
tôi ngứa cổ có bị covid không,request,diagnostic
tôi cần chuẩn bị gì trước khi tiêm vaccine,request,vaccine
tôi đau bụng có bị covid không,request,diagnostic
Tôi bị sốt với đau họng,request,diagnostic
Rồi,inform,information
tôi cần làm gì sau tiêm vaccine,request,vaccine
test nhanh,inform,information
âm tính,inform,information
có,inform,information
T bị sốt,inform,diagnostic
phụ nữ mang thai có tiêm vaccine được không,request,vaccine
Tui bị sốt,inform,diagnostic
có,inform,information
tôi nên ngủ mấy tiếng một ngày,request,healthcare
Tôi bị sốt,request,diagnostic
Tôi đau họng,request,diagnostic
rồi á,inform,information
tôi chán ăn thì không ăn có được k,request,healthcare
RT-PCR,inform,test
tôi đang hành kinh có tiêm vaccine được không,request,vaccine
âm tính,inform,information
tôi đang đến kì kinh nguyệt có thể tiêm vaccine không,request,common_infor
tôi không muốn ăn đc k,request,healthcare
tôi không có vị giác nên không muốn ăn có được không,request,common_infor
tiêm vaccine có ảnh hưởng đến vấn đề sinh sản,request,vaccine
Cần mua spo2 không,request,healthcare
tôi không biết cách đọc số trên máy đo spo2,request,common_infor
tôi ăn không ngon miệng,request,healthcare
tiêm chủng có làm ảnh hưởng đến khả năng sinh sản của tôi,request,common_infor
tôi ăn không ngon miệng không muốn ăn thì nên làm gì,request,common_infor
cách thiền ăn là gì,request,healthcare
thiền ăn,request,healthcare
tôi bị sốt thì phải làm sao,request,healthcare
tôi bị sốt thì nên làm gì,request,common_infor
tôi cần phải làm gì khi sốt,request,healthcare
tiêm mũi 2 sau bao lâu,request,vaccine
tôi đi du lịch phát hiện mình bị sốt thì phải làm sao,request,prevention
Tôi bị ho,request,diagnostic
Mua thuốc cho covid,request,medicine
Rồi,inform,information
test nhanh,inform,information
tôi bị đau họng khi đi du lịch,request,diagnostic
âm tính,inform,information
có,inform,information
các nhóm thuốc điều trị tại nhà cho bệnh nhân covid 19 là gì,request,common_infor
tôi có xét nghiệm không,request,test
không,inform,healthcare
không,inform,healthcare
nếu mũi 1 tôi tiêm astrazeneca thì mũi 2 tiêm cách mũi 1 bao lâu,request,common_infor
tiêm vaccine có gây nhiễm bệnh,request,vaccine
virus corona gây bệnh như thế nào,request,common_infor
tiêm vaccine có bị nhiễm từ,request,vaccine
tiêm vắc xin ngừa covid 19 có thể làm cho quý vị bị nhiễm từ không,request,common_infor
tôi xét nghiệm dương tính thì phải làm gì,request,test
tiêm vaccine pfizer có tốt không,request,vaccine
xét nghiệm pcr dương tính là bị covid đúng không,request,common_infor
nếu mũi 1 tôi tiêm vaccine pfizer comirnaty thì mũi 2 có thể tiêm vaccine khác được không,request,common_infor
liên hệ cơ sở y tế như thế nào,request,contact
tiêm vaccine vero cell có tốt không,request,vaccine
quận 8,inform,information
thiền ăn là gì,request,healthcare
nếu mũi 1 tôi tiêm vaccine sinopharm vero cell thì mũi 2 có thể tiêm trộn loại khác không,request,common_infor
cảm ơn,ok,diagnostic
chào bạn,hello,information
mất vị giác có nghiêm trọng không,request,healthcare
mất vị giác thì nên làm gì,request,healthcare
Bị Covid có chết không,request,information
tôi mang khẩu trang thì có bị nhiễm covid không,request,common_infor
tôi bị thay đổi vị giác thì nên làk gì,request,healthcare
tôi bị thay đổi vị giác thì nên ăn như thế nào,request,common_infor
Tôi có người thân qua đời vì covid có thể gọi ai để hỗ trợ không? ,request,contact
Tôi có người thân qua đời vì covid có thể gọi ai để hỗ trợ không? ,request,contact
Tôi có thể gọi ai để hỗ trợ theo dõi F0 tại nhà không? ,request,contact
Tân Bình,request,information
người nhà tôi không muốn ăn,request,healthcare
Có người nước ngoài bị mắc bệnh cần tư vấn tôi có thể gọi ai để hỗ trợ không? ,request,contact
tôi có được ra ngoài không,request,prevention
người nhà tôi bị bệnh nên không muốn ăn tôi phải làm gì,request,common_infor
người nhà tôi là f0 thì tôi có được đi ra ngoài mua thực phẩm không,request,common_infor
Tôi phải liên hệ số nào để vận chuyển cấp cứu bệnh nhân covid ,request,contact
tôi nên uống gì khi bệnh,request,healthcare
"Tôi cần máy oxy, bình oxy thì phải liên hệ số nào ?",request,contact
tôi có được đi mua thuốc không,request,medicine
"Tôi cần máy oxy, bình oxy thì phải liên hệ số nào ?",request,contact
tôi nên uống nước gì khi bị bệnh,request,common_infor
người nhà tôi là f0 thì tôi có được đi ra ngoài mua thực phẩm không,request,common_infor
Số điện thoại của trung tâm y tế quận 9 là số nào?,request,contact
tôi uống nước đá được k,request,healthcare
hút thuốc lá,request,healthcare
nên uống bao nhiêu nước môic ngày,request,current_number
Đường dây nóng ở Y tế TPHCM là số nào? ,request,contact
nên uống bao nhiêu nước một ngày,request,current_number
Đường dây nóng bộ y tế là số nào ?,request,contact
Khai báo y tế là gì ?,request,contact
Có những cách khai báo y tế nào?,request,contact
Khai báo y tế cần khai báo những nội dung gì ?,request,contact
Khai báo y tế cần khai báo những nội dung gì ?,request,contact
tôi cần làm gì tăng sức đề kháng,request,healthcare
"Khai báo y tế có cần khai báo trung thực, chính xác không? ",request,prevention
khi nào tôi cần khai báo y tế,request,common_infor
tôi cần khai báo y tế ở đâu,request,prevention
ba tôi là f1 thì tôi phải làm sao,request,rule
Khai báo y tế cần khai báo những nội dung gì ?,request,contact
người nhà tôi là f1 thì phải làm sao,request,rule
tôi nên uống vitamin C như thế nào,request,healthcare
ba tôi dương tính thì phải làm sao,request,healthcare
test nhanh dương tính thì có bị covid không,request,test
nên ăn trái cây gì để bổ sung vit C,request,healthcare
nên ăn gì để bổ sung C,request,healthcare
có cần sử dụng thêm vit C không,request,healthcare
Số điện thoại của trung tâm y tế TP Thủ Đức là số nào?,request,contact
Covid la gi,request,information
tôi có cần ăn kiêng không,request,healthcare
covid 19 là gì,request,common_infor
tôi có cần kiêng gì không,request,common_infor
Số điện thoại của trung tâm y tế quận Phú Nhuận là số nào ?,request,contact
Tôi phải gọi ai để báo cáo những người thu lợi bất chính từ dịch bệnh? ,request,contact
tôi bị ho nên ăn uống gì,request,healthcare
"Tôi phát hiện những sản phẩm bảo vệ sức khoẻ là hàng giả, buôn lậu thì nên gọi ai ?",request,contact
Tôi cảm thấy sốt và đau họng ,request,diagnostic
Có những cách khai báo y tế nào?,request,contact
Chưa,ok,information
Có nên mua máy đo huyết áp,request,device
không,inform,healthcare
chăm sóc f0 tại nhà có cần máy đo huyết áp không,request,common_infor
không,inform,healthcare
Số điện thoại của trung tâm y tế quận 9 là số nào?,request,contact
Số điện thoại của trung tâm y tế quận 12 là số nào?,request,contact
"Tôi cần hộ trợ chăm sóc y tế, an sinh xã hội thì phải liên hệ ai?",request,contact
tôi bị ho đàm thì nên làm gì,request,healthcare
"Tôi cần máy oxy, bình oxy thì phải liên hệ số nào ?",request,contact
tôi bị ho đàm,request,diagnostic
Tôi có người thân qua đời vì covid có thể gọi ai để hỗ trợ không? ,request,contact
chưa,ok,information
tôi bị ho đàm thì nên làm gì,request,healthcare
tôi bị ho đàm thì nên làm gì,request,healthcare
ho đàm thì nên uống gì,request,healthcare
tôi bị sốt thì nên ăn gig,request,healthcare
Chi phí test nhanh covid là bao nhiêu,request,information
Biểu hiện cơ bản của nhiễm covid,request,symptom
biểu hiện sớm nhất của bệnh virus corona là gì,request,common_infor
bị sốt thì nên uống gì,request,healthcare
có,inform,information
tôi xông có được k,request,healthcare
tôi xông hơi được không,request,common_infor
xông hơi như thế nào,request,healthcare
xông hôi bao lâu thì được,request,healthcare
người ấm ấm thì nên làm gì,request,healthcare
nóng như sốt thì nên làm gì,request,healthcare
cần làm gì khi sốt,request,healthcare
sốt có cần uống thuốc không,request,medicine
tôi cần phải làm gì khi sốt,request,common_infor
bị đau cơ thì nên làm gì,request,healthcare
bài tập cơ là gì,request,symptom
tôi bị đau cơ thì nên làm gì,request,common_infor
mất khứu giác có hồi phục k,request,healthcare
mất khứu giác nên làm gì,request,healthcare
đau họng thì nên uống gì,request,healthcare
đau cơ thì nên ăn gig,request,healthcare
đi tiêu nhiều lần trong ngày phải làm gì,request,healthcare
thấy mệt mỏi thì nên làm j,request,healthcare
bị sổ mũi nên làm gig,request,healthcare
Thử test 2 vạch,request,information
que test có một vạch đậm một vạch nhạt có dương tính không,request,information
Pcr dương tính,inform,test
Test pcr âm tính,inform,test
làm sao để giảm khó thở,request,healthcare
làm sao để phòng ngừa khó thở,request,common_infor
Tôi có pcr dương tính là chắc chắn bị bệnh đúng không,request,test
cách tập hít thở,request,healthcare
Pcr dương tính là bị covid đúng không,request,test
cách tập hít thở như thế nào,request,common_infor
Pcr âm tính là không bị covid hả,request,test
tôi làm pcr ra âm tính là không bị bệnh đúng không,request,common_infor
Mẫu gộp là gì,request,test
gộp mẫu để làm test nhanh có được không,request,test
tập hít thở bao lâu đc,request,healthcare
tôi đứng thấy khó thở thì phải làm sao,request,healthcare
tư thế nằm sấp như thế nào,request,healthcare
nằm đầu cao,request,healthcare
tư thế nằm đầu cao như thế nào,request,common_infor
nằm nghiêng,request,healthcare
tư thế nằm nghiêng như thế nào,request,common_infor
làm sao để khạc đàm,request,healthcare
tôi hay bị đàm làm sao để khạc ra,request,common_infor
tống đàm ntn,request,healthcare
vận động tại giường,inform,information
rèn sức bền có những cách nào,request,healthcare
rèn luyện sức bền có những phương pháp nào,request,common_infor
ấn lưng xuống giường,request,common_infor
làm sao để giwux tâm lí bình tĩnh,request,healthcare
tôi hay lo lắng phải làm s,request,healthcare
tôi hay căng thẳng,request,healthcare
tôi hay bị căng thẳng thì phải làm sao,request,common_infor
stress phải làm gì,request,healthcare
tôi hay bị stress thì phải làm sao,request,common_infor
thiền có ích k,request,healthcare
thiền có lợi ích gì tác hại gì,request,common_infor
cách thiền,request,healthcare
cách thiền như thế nào,request,common_infor
khó khăn khi làm việc buồn,request,healthcare
tôi cảm thấy khó khăn khi làm việc buồn lo lắng thì phải làm sao,request,common_infor
khó ngủ phải làm gì,request,healthcare
tôi không ngủ được thì phải làm sao,request,common_infor
tôi thấy tuyệt vọng,request,diagnostic
tôi thấy lo sợ phải làm s,request,healthcare
tôi có ý định tự sát,request,information
